page_id,score,grade,hard,element_similarity_percent,text_similarity_percent,old_bytes,gold_bytes,old_elements,gold_elements,old_text_len,gold_text_len,failed_checks
sg00761,63.1,D,8/10,28.4,66.6,32412,67423,708,1270,3419,4747,href_no_pattern;alt_present
sg01171,64.4,D,8/10,52.9,50.6,16477,24858,455,608,2680,3919,no_anchor_text;no_short_weekday
sg02395,53.8,D,8/10,18.1,44.4,20614,20510,660,432,3654,2471,no_tag;no_anchor_text
sg02535,82.1,B,9/10,55.6,92.4,5180,7545,41,57,1628,1850,no_consecutive_br
sg02536,83.0,B,9/10,53.2,97.4,5577,7989,51,67,1452,1481,no_anchor_text
sg02537,87.3,A,10/10,50.0,99.3,4398,6503,40,74,1364,1376,
sg02538,83.8,B,10/10,40.9,95.2,4156,7317,71,115,1220,1296,
sg02539,81.4,B,9/10,54.0,91.4,3071,4895,46,51,752,754,no_anchor_text
sg02541,81.4,B,10/10,27.0,98.7,4192,5569,54,59,1153,1163,
sg02542,74.1,C,8/10,32.9,99.7,4919,6191,43,50,1494,1492,no_tag;no_consecutive_br
sg02544,80.4,B,10/10,32.2,91.2,3589,6711,56,100,1060,1118,
sg02545,81.1,B,10/10,30.2,95.2,3216,6262,78,116,1125,1190,
sg02546,72.8,C,9/10,38.4,75.6,13149,24808,304,486,3880,4658,no_consecutive_br
sg02548,81.0,B,10/10,28.4,96.2,9784,16195,127,239,2819,2957,
sg02551,85.4,A,10/10,46.7,95.7,1198,2173,19,25,259,253,
sg02553,76.0,B,10/10,16.0,90.0,6336,10639,99,191,1699,1829,
sg02554,77.2,B,10/10,16.1,93.9,5800,8889,67,113,1594,1736,
sg02555,68.8,C,8/10,16.6,95.5,5361,7006,82,101,1453,1497,no_tag;no_anchor_text
sg02556,72.5,C,8/10,39.2,89.1,2483,3623,32,39,662,595,no_tag;no_short_weekday
sg02557,78.0,B,10/10,33.3,82.3,1178,2079,22,18,180,136,
sg02558,73.9,C,9/10,32.5,84.4,4062,6471,58,97,1056,1198,no_anchor_text
sg02560,78.6,B,10/10,21.6,94.0,3195,6142,50,85,900,996,
sg02561,81.0,B,10/10,31.5,93.7,3720,6531,52,90,1099,1216,
sg02562,70.0,C,9/10,31.5,72.2,21526,39826,516,853,5053,6358,no_tag
sg02565,79.3,B,9/10,44.4,92.4,5852,8685,89,119,1373,1431,no_tag
sg02568,79.2,B,10/10,24.6,93.4,1929,4089,30,56,547,613,
sg02570,82.4,B,10/10,36.3,94.4,5977,8289,54,85,1643,1604,
sg02571,75.6,B,8/10,51.8,88.9,5966,8599,99,112,1558,1626,no_tag;no_short_weekday
sg02573,89.0,A,10/10,56.1,99.8,4942,6683,35,54,1542,1543,
sg02574,79.8,B,9/10,39.6,98.0,4215,6019,53,74,1206,1207,no_tag
sg02575,74.2,C,9/10,24.4,91.9,4582,6771,39,73,1310,1408,no_tag
sg02576,79.3,B,9/10,41.7,94.6,2974,4523,37,48,864,887,no_tag
sg03727,77.2,B,9/10,46.3,83.9,2408,4650,39,59,465,615,no_anchor_text
sg03995,82.1,B,10/10,35.0,94.6,564,2244,16,38,137,123,
sg03996,79.2,B,10/10,39.2,81.1,3472,5828,75,106,635,691,
sg03997,72.9,C,10/10,31.9,66.6,2691,5739,42,78,716,897,
sg03998,84.9,B,10/10,40.0,99.5,1650,2750,13,22,504,507,
sg04000,80.2,B,10/10,23.1,98.1,1405,2506,28,36,380,366,
sg04003,76.2,B,10/10,22.6,85.1,8638,11949,131,167,1726,1693,
sg04005,77.7,B,10/10,37.0,78.0,6922,13626,125,208,1457,2088,
sg04007,65.8,C,9/10,22.1,66.0,10217,10466,164,156,2400,1799,no_anchor_text
sg04008,76.6,B,9/10,39.9,87.2,6617,11468,169,227,1466,1621,no_tag
sg04009,77.9,B,10/10,26.2,87.9,10892,14703,137,215,2288,2519,
sg04010,83.4,B,10/10,43.3,91.9,2183,4298,30,56,606,650,
sg04011,84.3,B,10/10,47.6,91.2,2174,4240,35,58,575,622,
sg04012,79.7,B,10/10,33.3,87.8,1546,2812,17,27,332,342,
sg04013,83.9,B,10/10,38.8,97.4,1960,3260,27,41,470,475,
sg04014,74.8,C,9/10,34.2,85.7,7116,10773,137,169,1858,1917,no_tag
sg04015,81.3,B,9/10,53.4,91.4,5251,7290,70,88,1248,1315,no_tag
sg04782,83.0,B,10/10,32.0,99.9,47375,69979,538,464,11233,11249,
sg06323,66.0,C,8/10,25.5,78.7,27604,54469,570,533,3549,3440,no_anchor_text;anchor_href_present
